AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
fullerton police department,CA,37300000,4.4e+07,47794875,50439310,48784967
garden grove police department,CA,45180306,50200000,59303020,66902372,67355927
huntington beach police department,CA,45263490,7e+07,81563527,81679369,93993820
newport beach police department,CA,43983102,52335028,65793597,70717853,63736848
orange police department,CA,NA,42223109,46862791,50611830,51003573
santa ana police department,CA,101365485,118519466,131568820,133908060,152300000
seal beach police department,CA,NA,NA,11811300,12111400,13260798
irvine police department,CA,56988995,77533644,43847136,45955977,52900000
rocklin police department,CA,NA,NA,15543000,18904700,18914767
roseville police department,CA,NA,NA,44842766,46711471,47490034
riverside police department,CA,91268017,89746918,1.5e+08,1.34e+08,108814277
corona police department,CA,41399330,44553484,46694832,48875516,47711195
murrieta police department,CA,23140256,NA,2.7e+07,27500000,33175828
galt police department,CA,NA,NA,6297356,6243531,8586251
sacramento police department,CA,124556913,125495560,147028812,157502833,221300000
elk grove police department,CA,30931302,35458468,40333488,52903418,48279342
hollister police department,CA,NA,NA,8243000,5871400,9360801
chino police department,CA,2.8e+07,32062886,42021191,43578529,42211380
fontana police department,CA,4e+07,59709300,60908820,65371040,97126798
ontario police department,CA,65843095,78252483,99006979,94546750,102215948
rialto police department,CA,24097786,27462906,36832921,40687582,41474730
san bernardino police department,CA,55567000,59472136,81404707,83451584,85401695
upland police department,CA,15075550,NA,24184140,24934150,27688393
carlsbad police department,CA,28084011,31747084,42017261,44593457,48141099
chula vista police department,CA,43963270,48764653,563765248,58784676,5.1e+07
el cajon police department,CA,2.6e+07,29641451,37301719,38364561,93427482
escondido police department,CA,33221490,39314435,45928260,45633100,47329761
la mesa police department,CA,NA,NA,20632000,20617000,21357003
oceanside police department,CA,51359864,53233660,58609026,61558342,68837735
san diego police department,CA,415271291,435501139,539262929,568243558,601200000
san francisco police department,CA,4.92e+08,542026595,692322316,667891102,657400000
stockton police department,CA,90340310,115067578,135600000,1.39e+08,152900000
arroyo grande police department,CA,NA,NA,5600000,5600000,5698434
brisbane police department,CA,2940347,NA,5017242,5261668,4773732
daly city police department,CA,25648000,3e+07,30109785,35320288,38953587
menlo park police department,CA,NA,NA,17263291,13887680,18372369
san mateo police department,CA,NA,39270506,NA,46429764,48912380
east palo alto police department,CA,NA,NA,1.2e+07,1.2e+07,11643800
santa barbara police department,CA,3.5e+07,NA,4.8e+07,4.5e+07,42866205
santa maria police department,CA,22414705,3e+07,32101140,44311107,37324022
milpitas police department,CA,NA,26774005,30801738,34301350,34802445
san jose police department,CA,294752941,346977957,464466750,471530192,498100000
santa clara police department,CA,44361846,NA,62799081,74167544,74922688
sunnyvale department of public safety,CA,3.3e+07,37881763,98366896,102135526,47651880
santa cruz police department,CA,NA,NA,3.1e+07,2.7e+07,25817561
redding police department,CA,25915350,NA,31641295,33827140,33655468
fairfield police department,CA,29297744,33404786,42887273,46409235,51308336
rio vista police department,CA,NA,NA,2663148,3081872,3408609
vacaville police department,CA,NA,NA,39850235,42449743,42393767
vallejo police department,CA,NA,35125980,45517060,50596002,50667071
cloverdale police department,CA,NA,NA,3900000,4100000,4241093
healdsburg police department,CA,NA,NA,5852093,6386921,6122592
santa rosa police department,CA,42300000,50408936,65750684,66384545,68528133
modesto police department,CA,48688327,57937737,67073643,71082459,32912754
porterville police department,CA,NA,10751827,1.3e+07,1.6e+07,13373988
tulare police department,CA,NA,NA,18476850,19209600,18668542
visalia police department,CA,NA,32773900,42774499,42539300,42420255
oxnard police department,CA,NA,56143190,5.8e+07,6.3e+07,77038214
santa paula police department,CA,NA,NA,7933663,8809919,8182032
ventura police department buenaventura,CA,28500000,32394000,44938301,42313987,298600000
simi valley police department,CA,28235400,3.3e+07,36131593,37436772,35419301
west sacramento police department,CA,NA,NA,21002784,22145739,22269120
aurora police department,CO,92458923,104037749,133217416,141320775,136800000
commerce city police department,CO,NA,NA,18593352,23375345,23190000
