AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
albert lea police department,MN,NA,NA,NA,NA,4467000
kenyon police department,MN,NA,NA,280000,290000,NA
bloomington police department,MN,NA,NA,26976602,27876141,30749000
brooklyn park police department,MN,NA,16711410,2e+07,2.2e+07,25940000
crystal police department,MN,NA,NA,NA,NA,7264000
minneapolis police department,MN,136098777,157797751,179849642,193001000,193100000
minnetonka police department,MN,8998900,NA,9750357,10558485,12035000
plymouth police department,MN,NA,NA,14935375,15812779,12756000
richfield police department,MN,NA,NA,8498725,9382870,9449000
saint louis park police department,MN,NA,NA,NA,NA,13042000
corcoran police department,MN,NA,NA,1400000,1500000,NA
park rapids police department,MN,NA,NA,NA,NA,NA
cambridge police department,MN,NA,NA,1942912,2292960,NA
lakefield police department,MN,NA,NA,3e+05,3e+05,281000
international falls police department,MN,1330832,NA,1500000,1500000,NA
montgomery police department,MN,610000,NA,935000,975000,NA
marshall police department,MN,NA,NA,3400000,3400000,3211000
tracy police department,MN,NA,NA,323767,412702,NA
rochester police department,MN,20434579,23968823,30792695,31766545,29494000
glenwood police department,MN,NA,NA,NA,NA,NA
saint paul police department,MN,9.9e+07,109647000,100637713,102348093,128700000
redwood falls police department,MN,NA,NA,1402663,1553515,1773000
northfield police department,MN,NA,NA,3857092,4162669,NA
dundas police department,MN,NA,280000,NA,NA,NA
roseau police department,MN,NA,NA,852725,918052,904000
warroad police department,MN,NA,NA,652309,652309,NA
babbitt police department,MN,NA,NA,596493,629251,NA
duluth police department,MN,18280700,2.1e+07,24067792,24002379,28688000
gilbert police department,MN,NA,NA,1007000,1007000,NA
shakopee police department,MN,8e+06,7625014,9e+06,9e+06,9203000
saint cloud police department,MN,13974500,17076900,19200000,19700000,19364000
waite park police department,MN,2110850,NA,2937950,3102300,NA
sartell police department,MN,NA,NA,2947780,3216440,NA
morris police department,MN,NA,NA,NA,NA,1046000
appleton police department,MN,NA,NA,365000,385000,NA
wheaton police department,MN,NA,NA,362000,374000,NA
kirksville police department,MO,NA,NA,2860131,2987201,2418000
savannah police department,MO,NA,330000,475000,480000,NA
adrian police department,MO,NA,NA,250000,250000,25930
centralia police department,MO,774000,NA,NA,NA,NA
columbia police department,MO,19440925,21953455,22836305,26303913,19664000
saint joseph police department,MO,13453928,18171728,19934161,19892024,17945000
auxvasse police department,MO,NA,105000,110000,105000,NA
osage beach police department,MO,NA,NA,2614224,2905160,2391000
belton police department,MO,NA,NA,5649908,6394370,5666000
boonville police department,MO,NA,NA,1813150,1866695,NA
pilot grove police department,MO,NA,50000,60000,60000,NA
greenfield police department,MO,NA,NA,227000,228000,NA
buffalo police department,MO,NA,NA,421000,510000,73100000
hornersville police department,MO,NA,NA,NA,NA,NA
springfield police department,MO,31833760,27151620,42605053,42179110,70145000
west plains police department,MO,NA,NA,2212426,2046032,208000
blue springs police department,MO,NA,NA,1.1e+07,1.1e+07,17165000
independence police department,MO,25612039,27034885,32153547,31553037,39810000
lees summit police department,MO,19500000,19738636,22170138,22793832,22228000
raytown police department,MO,NA,8504602,NA,NA,5689000
lake tapawingo police department,MO,NA,NA,3e+05,3e+05,NA
duquesne police department,MO,NA,NA,420000,420000,47200
arnold police department,MO,NA,NA,7e+06,7500000,6722000
herculaneum police department,MO,NA,NA,8e+05,8e+05,840000
edina police department,MO,NA,NA,NA,NA,NA
lebanon police department,MO,NA,NA,2945545,2956345,4266000
aurora police department,MO,NA,1051070,1606548,1820975,1341290
canton police department,MO,NA,NA,330790,365614,NA
moscow mills police department,MO,NA,NA,556000,605000,758193
anderson police department,MO,NA,NA,304970,329541,NA
lanagan police department,MO,NA,NA,NA,NA,NA
macon police department,MO,NA,1050000,885000,885000,897000
lake ozark police department,MO,1015826,1048613,1057332,1112535,1012522
bertrand police department,MO,NA,NA,27049,35128,NA
monroe city police department,MO,NA,517145,NA,NA,614701
montgomery city police department,MO,NA,NA,460000,464580,NA
stover police department,MO,NA,NA,187260,187260,NA
versailles police department,MO,NA,NA,739555,759775,NA
seneca police department,MO,NA,NA,519450,519450,485000
thayer police department,MO,NA,NA,231648,224178,NA
linn police department,MO,NA,NA,250000,273000,NA
caruthersville police department,MO,NA,NA,1520000,1520000,550501945
hayti police department,MO,NA,NA,718404,718404,NA
bowling green police department,MO,NA,980306,1072477,1090600,1114667
platte woods police department,MO,NA,NA,235000,240000,1250760
northmoor police department,MO,NA,NA,NA,NA,NA
humansville police department,MO,NA,85000,NA,NA,NA
unionville police department,MO,284110,NA,2e+05,210000,NA
center police department,MO,NA,NA,7500,7500,97541
huntsville police department,MO,NA,NA,222658,217544,NA
orrick police department,MO,NA,NA,NA,NA,NA
doniphan police department,MO,697312,NA,6e+05,6e+05,NA
city of o'fallon mo police department,MO,12185755,13210139,13925453,14722879,15027767
saint charles police department,MO,NA,18869320,20611514,20832982,21595000
saint peters police department,MO,NA,NA,14600445,14662175,13685000
lowry city police department,MO,NA,NA,NA,NA,NA
berkeley police department,MO,NA,NA,3042818,2858884,2732000
bridgeton police department,MO,NA,NA,5700000,5700000,6153000
calverton park police department,MO,NA,NA,637000,647000,NA
ferguson police department,MO,NA,NA,4453288,4478060,4109000
frontenac police department,MO,2630811,NA,2767616,2790402,2422933
shrewsbury police department,MO,NA,NA,2604051,2472229,2602349
woodson terrace police department,MO,NA,NA,2e+06,2e+06,2003000
ste genevieve police department,MO,NA,NA,1075225,1289184,NA
oran police department,MO,NA,NA,48000,48000,NA
eminence police department,MO,NA,40000,NA,NA,NA
clarence police department,MO,NA,NA,10000,10000,NA
crane police department,MO,NA,NA,NA,NA,NA
nevada police department,MO,NA,NA,2168185,2180437,2795000
rogersville police department,MO,NA,NA,550000,650000,NA
mansfield police department,MO,250000,NA,389100,309900,NA
kansas city police department,MO,196432911,232824751,225791018,232526404,239436000
saint louis metro police department,MO,131830464,NA,171426114,165105124,202215000
shaw police department,MS,NA,NA,NA,NA,306000
clarksdale police department,MS,NA,NA,3077412,3484411,3282000
crystal springs police department,MS,NA,NA,949000,949000,NA
collins police department,MS,NA,NA,NA,NA,709000
southaven police department,MS,11400000,11550292,NA,NA,NA
hattiesburg police department,MS,1.2e+07,NA,7700400,7727304,12304000
biloxi police department,MS,14992254,16123636,18662860,17781711,15504000
gulfport police department,MS,17876752,17276374,18500700,1.8e+07,16630000
jackson police department,MS,41726645,NA,NA,NA,27990000
clinton police department,MS,NA,NA,NA,NA,5140000
lexington police department,MS,NA,NA,NA,NA,NA
bay springs police department,MS,NA,NA,7e+05,7e+05,NA
sandersville police department,MS,NA,NA,290500,3e+05,NA
tupelo police department,MS,9e+06,NA,10964199,11105472,19787000
columbus police department,MS,NA,NA,3500000,3500000,4962000
canton police department,MS,NA,NA,294802,310500,2407000
winona police department,MS,NA,NA,NA,NA,831000
decatur police department,MS,NA,NA,NA,NA,NA
starkville police department,MS,NA,NA,5e+06,5e+06,5150000
poplarville police department,MS,NA,NA,788320,788320,NA
mccomb police department,MS,NA,NA,4756653,4756653,NA
brandon police department,MS,NA,3809708,NA,NA,3680000
florence police department,MS,NA,1237821,1509675,1537070,1202000
leland police department,MS,NA,NA,1231154,1235091,394000
waynesboro police department,MS,NA,NA,1200000,1200000,NA
havre police department,MT,NA,NA,2210210,2291569,2228000
missoula police department,MT,NA,NA,18245121,19657090,19786000
livingston police department,MT,NA,NA,1687184,1809189,1721000
deer lodge police department,MT,NA,NA,550000,650000,501000
billings police department,MT,19290264,21360475,27017423,25925826,24868000
ravenna police department,NE,3e+05,NA,265000,285000,168000
lyons police department,NE,NA,NA,NA,NA,NA
tekamah police department,NE,NA,NA,436800,485600,NA
harvard police department,NE,NA,NA,183000,220000,NA
gothenburg police department,NE,517485,NA,5e+05,5e+05,NA
scribner police department,NE,NA,NA,140000,140000,NA
omaha police department,NE,121748730,133280153,164729279,159838743,1.7e+08
wymore police department,NE,NA,NA,233425,257500,295000
minden police department,NE,NA,NA,641000,738000,499000
lincoln police department,NE,38033450,45451242,55158134,56585576,46300000
norfolk police department,NE,NA,NA,NA,NA,6014000
central city police department,NE,NA,539000,650000,704127,398000
superior police department,NE,NA,250000,282742,264794,NA
falls city police department,NE,NA,NA,9e+05,9e+05,1014000
crete police department,NE,NA,NA,NA,NA,1115000
bellevue police department,NE,14114960,NA,15556563,14622287,13197000
burlington police department,NC,1.3e+07,14918383,17490045,18564747,19238000
mebane police department,NC,NA,NA,4e+06,4e+06,13320689
wadesboro police department,NC,NA,NA,2114467,2219564,3346130
jefferson police department,NC,NA,NA,NA,NA,636226
washington police department,NC,NA,NA,NA,NA,4068000
chocowinity police department,NC,NA,NA,262400,277300,0
windsor police department,NC,NA,NA,825000,801600,1459367
ocean isle beach police department,NC,NA,1026217,1200000,1500000,1532436
asheville police department,NC,2.1e+07,24719331,29927129,29240299,27615000
montreat police department,NC,NA,NA,NA,NA,460939
concord police department,NC,16550240,18965049,23645524,25564211,27017000
atlantic beach police department,NC,NA,NA,1487071,1719529,152061
newport police department,NC,NA,683802,764903,914935,0
cape carteret police department,NC,NA,NA,535167,576532,733588
emerald isle police department,NC,NA,NA,1940957,2046347,2100197
hickory police department,NC,10808576,12603340,13197042,13488157,12480000
claremont police department,NC,NA,NA,902337,938617,804000
fair bluff police department,NC,NA,NA,NA,NA,215610
vanceboro police department,NC,NA,NA,235252,245252,271717
fayetteville police department,NC,4e+07,51215035,5.6e+07,5.6e+07,56500000
nags head police department,NC,NA,NA,2684114,2815541,7966936
thomasville police department,NC,NA,NA,7950000,8265000,6908000
mocksville police department,NC,1800000,NA,NA,NA,2037278
magnolia police department,NC,NA,NA,1130400,1211435,216682
durham police department,NC,59058720,54622490,67553520,65634500,68900000
rocky mount police department,NC,1.5e+07,NA,17400000,16900000,16897000
winston-salem police department,NC,61642450,65331850,78167060,78711550,80300000
louisburg police department,NC,NA,NA,1800000,1775000,0
franklinton police department,NC,NA,682304,988258,901370,759103
dallas police department,NC,NA,1300000,1809360,1691500,1341000
gastonia police department,NC,1.6e+07,17470449,19933078,21509291,19402000
butner public safety,NC,NA,NA,3709158,4036191,4697690
greensboro police department,NC,65355241,NA,78902453,79103152,83700000
high point police department,NC,22508577,24404445,29461133,30530732,32955000
littleton police department,NC,168000,NA,NA,NA,14976790
weldon police department,NC,NA,NA,625647,614962,0
lillington police department,NC,NA,NA,1065000,1175200,0
canton police department,NC,1638065,1410110,1630360,1726285,1654394
laurel park police department,NC,NA,NA,NA,NA,1088305
smithfield police department,NC,NA,NA,NA,NA,3561000
pine level police department,NC,NA,NA,2e+05,2e+05,0
princeton police department,NC,NA,NA,341819,3e+05,474092
selma police department,NC,1693000,NA,NA,NA,1738000
sanford police department,NC,8782590,8772191,9731418,8729074,9350000
lincolnton police department,NC,NA,NA,3196298,3112970,3088000
old fort police department,NC,NA,NA,NA,NA,283229
charlotte mecklenburg police department,NC,211316611,118723360,282288482,290203220,300900000
davidson police department,NC,1690389,NA,2734953,2898017,3078031
matthews police department,NC,NA,NA,6951447,7143859,6298402
pinehurst police department,NC,NA,2949599,3660000,3642455,7035668
whispering pines police department,NC,NA,NA,851439,847050,1488805
wilmington police department,NC,2.4e+07,17143405,36703021,35835622,36174000
wrightsville beach police department,NC,NA,NA,2800000,2800000,4777000
conway police department,NC,NA,NA,188000,222000,6823680
jacksonville police department,NC,16506144,14363339,14863150,15373969,16190000
chapel hill police department,NC,12594282,13377095,16027754,16112146,13346550
elizabeth city police department,NC,NA,NA,6100000,6200000,7883429
greenville police department,NC,2.2e+07,23862442,24501924,24454753,24714000
ramseur police department,NC,NA,NA,4e+05,318877,491919
lumberton police department,NC,NA,16698155,7932050,8160560,15649307
maxton police department,NC,NA,766300,692395,786305,860000
fairmont police department,NC,NA,NA,696981,743621,951934
parkton police department,NC,NA,NA,NA,NA,102416
madison police department,NC,NA,NA,1100000,1280000,7728315
landis police department,NC,NA,NA,1031006,1062553,811299
salisbury police department,NC,NA,NA,7324747,8626755,9409000
