AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
anton police department,anton,TX,NA,NA,148938,158271,,
antonito police department,antonito,CO,NA,483828,605000,620000,,
antrim county sheriff's office,bellaire,MI,NA,NA,175000,182000,3460000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
antwerp police department,antwerp,OH,NA,NA,NA,NA,,
apalachicola police department,apalachicola,FL,NA,NA,3e+05,290000,,
apopka police department,apopka,FL,NA,NA,NA,NA,13431000,https://policescorecard.org/
appleton police department,appleton,MN,NA,NA,496867,500189,,
appleton police department,appleton,WI,NA,258700,275000,275000,,
appling county sheriff's office,baxley,GA,NA,NA,1e+05,1e+05,,
arab police department,arab,AL,NA,NA,NA,NA,1556000,https://policescorecard.org/
arapahoe county sheriff's office,centennial,CO,NA,NA,150000,150000,57585000,https://policescorecard.org/
arcadia police department,arcadia,OK,NA,NA,190000,195000,,
archbold police department,archbold,OH,NA,NA,229231,NA,,
ardmore police department,ardmore,TN,NA,NA,NA,NA,,
argonia police department,argonia,KS,NA,NA,145134,145434,,
argyle police department,argyle,TX,NA,NA,1e+05,1e+05,1396000,https://policescorecard.org/
arlington county police department,arlington,VA,NA,NA,93500,93500,72968000,https://policescorecard.org/
arlington heights police department,arlington heights,IL,NA,NA,1e+05,1e+05,26072000,https://policescorecard.org/
arlington police department,arlington,MN,NA,NA,NA,NA,,
arlington police department,arlington,WA,NA,NA,3e+05,296000,7407000,https://policescorecard.org/
arlington police department,arlington,TX,NA,NA,233100,233100,118800000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
arnaudville police department,arnaudville,LA,NA,NA,110000,110000,402094,https://app.lla.state.la.us/publicreports.nsf/0/9e0335a9c72340c3862587740062ad7c/$file/00024d86.pdf?openelement&.7773098
arnold police department,arnold,MO,NA,NA,520000,520000,6722000,https://policescorecard.org/
aroostook county sheriff's office,houlton,ME,NA,NA,NA,NA,3380000,https://policescorecard.org/
arroyo grande police department,arroyo grande,CA,NA,NA,150684,150684,5698434,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
arvada police department,arvada,CO,NA,NA,45000,45000,,
ascension parish sheriff's office,donaldsonville,LA,NA,NA,208763,185555,25099000,https://policescorecard.org/
ash flat police department,ash flat,AR,NA,840000,1198148,1314277,,
ashburn police department,ashburn,GA,NA,NA,773340,914000,,
ashdown police department,ashdown,AR,NA,NA,180000,180000,,
asher police department,asher,OK,NA,130000,132000,133000,,
asheville police department,asheville,NC,NA,130000,175000,185000,27615000,https://policescorecard.org/
ashfield police department,ashfield,MA,NA,NA,149352,160318,,
ashland police department,ashland,AL,NA,NA,184625,206195,"487,034",https://ashlandnh.org/wp-content/uploads/2020/11/2021-Budget-Book_oct2020BOS.pdf
ashland police department,ashland,IL,NA,126478,NA,NA,"95,295",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
ashland police department,ashland,NH,NA,NA,165000,170000,370000,https://policescorecard.org/
ashland police department,ashland,OH,NA,NA,152286,174021,3742000,https://policescorecard.org/
ashland police department,ashland,VA,NA,NA,91211,91211,,
ashley borough police department,ashley borough,PA,NA,NA,40000,40000,364426,https://dced.pa.gov/local-government/municipal-statistics/
ashtabula county sheriff's office,jefferson,OH,NA,NA,NA,NA,6014000,https://policescorecard.org/
ashville police department,ashville,AL,NA,8e+05,578150,619650,438000,https://policescorecard.org/
asotin police department,asotin,WA,NA,NA,1200000,1300000,,
aspen police department,aspen,CO,NA,91820,98000,98000,5355000,https://policescorecard.org/
aston township police department,aston,PA,NA,NA,515745,515745,5658160,https://dced.pa.gov/local-government/municipal-statistics/
athens clarke county police department,athens,GA,NA,NA,914552,847446,,
athens township police department,sayre,PA,NA,NA,165000,170000,444087,https://dced.pa.gov/local-government/municipal-statistics/
atlanta police department,atlanta,GA,NA,NA,NA,NA,277000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
atlantic beach police department,atlantic beach,NC,NA,NA,NA,NA,152061,https://atlanticbeach-nc.com/wp-content/uploads/2015/07/FY-2021-22-Annual-Comprehensive-Financial-Report.pdf
atlantic city police,atlantic,NJ,NA,NA,NA,NA,33649000,https://policescorecard.org/
atlantic county sheriff's office,mays landing,NJ,NA,NA,1000,1000,,
atlantic highlands police,atlantic highlands,NJ,NA,NA,631851,767302,,
auburn police department,auburn,IL,NA,NA,3000,6000,"557,287",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
auburn police department,auburn,NH,NA,NA,32000,32825,,
auburn police department,auburn,WA,NA,450000,750000,750000,28600000,https://policescorecard.org/
auburn police division,auburn,AL,NA,NA,321325,334075,16055000,https://policescorecard.org/
augusta police department,augusta,ME,NA,NA,NA,NA,5853000,https://policescorecard.org/
ault police department,ault,CO,NA,NA,22000,5000,,
aumsville police department,aumsville,OR,NA,NA,4000,4000,1247252,https://www.aumsville.us/sites/default/files/fileattachments/finance/page/4381/adopted_budget_2021-2022.pdf
aurora police department,aurora,IL,NA,NA,NA,NA,82576000,https://policescorecard.org/
aurora police department,aurora,MO,NA,32000,35000,35000,1341290,https://www.aurora-cityhall.org/DocumentCenter/View/1622/City-of-Aurora-FY2021-Budget
aurora police department,aurora,CO,NA,240000,NA,NA,136800000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
austin police department,austin,TX,NA,NA,91753,102416,443100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
auxvasse police department,auxvasse,MO,NA,NA,NA,NA,,
avalon police department,avalon,NJ,NA,NA,NA,NA,2296000,https://policescorecard.org/
avoca police department,avoca,IA,NA,NA,325000,275525,,
avon police department,avon,IN,NA,NA,882022,921372,3970478,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
avon police department,holbrook,MA,NA,NA,180000,180000,,
avon police department,avon,SD,NA,NA,8e+05,855000,,
avondale police department,avondale,AZ,NA,190000,2e+05,2e+05,26077000,https://policescorecard.org/
avoyelles parish sheriff's office,marksville,LA,NA,NA,286000,294000,8830918,https://app.lla.la.gov/publicreports.nsf/0/4da3c9c15c131dec862584dd005cb18e/$file/0001edb5.pdf
ayer police department,ayer,MA,NA,NA,679100,728040,,
babbitt police department,babbitt,MN,NA,NA,1440000,1367000,,
baileyville police department,baileyville,ME,NA,NA,465386,431673,,
baker county sheriff's department,newton,GA,NA,360462,5e+05,521000,511439,https://georgiadata.org/
bakersfield police department,bakersfield,CA,NA,NA,105000,110000,113600000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
bald knob police department,bald knob,AR,NA,NA,NA,NA,,
baldwin county sheriff's department,milledgeville,GA,NA,NA,NA,NA,4952000,https://georgiadata.org/
baldwin county sheriff's office,bay minette,AL,NA,NA,1341643,1449877,16574000,https://policescorecard.org/
baldwin park police department,baldwin park,CA,NA,NA,NA,NA,18633707,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
baldwin police department,baldwin,GA,NA,NA,250000,250000,670000,https://georgiadata.org/
baldwin police department,baldwin,LA,NA,NA,125000,135000,601769,https://www.baldwinpark.com/DocumentCenter/View/346/FY21-22-Adopted-Budget---Police-PDF
baldwin township police department,pittsburgh,PA,NA,NA,NA,NA,3932289,https://dced.pa.gov/local-government/municipal-statistics/
ballinger police department,ballinger,TX,NA,NA,2e+05,220000,"1,015,181",https://www.baltx.org/_files/ugd/b59312_f069853c53f8421ea1466bb21b53f835.pdf
baltimore city sheriff's office,baltimore,MD,NA,NA,NA,NA,530286000,https://policescorecard.org/
baltimore county police,towson,MD,NA,NA,NA,NA,243231000,https://policescorecard.org/
baltimore police department,baltimore,MD,NA,NA,89570,89570,555100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
bangor police department,bangor,MI,NA,NA,NA,NA,56000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
bangor police department,bangor,WI,"46,903","43,021",70000,77000,,
bangs police department,bangs,TX,"86,348","103,585",118809,114109,310531,https://www.cityofbangs.org/media/341
bannock county sheriff's office,pocatello,ID,"1,634,591","1,889,765",2135256,2003784,5455000,https://policescorecard.org/
baraboo police department,baraboo,WI,"771,549","718,696",7e+05,7e+05,,
barber county sheriff's department,medicine lodge,KS,NA,NA,3e+06,3e+06,683000,https://policescorecard.org/
bardwell police department,bardwell,KY,NA,NA,NA,NA,,
barnegat township police,barnegat,NJ,NA,NA,NA,NA,7778000,https://policescorecard.org/
barnes county sheriff's office,valley,ND,NA,NA,NA,NA,,
barnstable police department,hyannis,MA,NA,NA,NA,NA,14289000,https://policescorecard.org/
barodalake township police department,bridgman,MI,NA,NA,672300,843903,235440,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
barre city police department,barre,VT,NA,NA,169000,156000,3419000,https://policescorecard.org/
barrow county sheriff's office,winder,GA,NA,NA,70000,70000,10798000,https://georgiadata.org/
barry township police department,delton,MI,NA,NA,10500,122300,227690,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
bartlett police department,bartlett,IL,NA,NA,15000,15000,13213000,https://policescorecard.org/
bartlett police department,bartlett,TN,NA,175000,2e+05,2e+05,15619000,https://policescorecard.org/
bartow county sheriff's office,cartersville,GA,NA,NA,133000,133000,25546000,https://georgiadata.org/
bath county sheriff's office,warm springs,VA,NA,NA,10000,10000,,
bath police department,bath,NH,NA,NA,NA,NA,,
baton rouge police department,baton rouge,LA,NA,NA,3e+05,302000,95900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
battle creek police department,battle creek,MI,NA,NA,NA,NA,19024000,https://policescorecard.org/
bauxite police department,bauxite,AR,NA,NA,NA,NA,,
baxter county sheriff's office,mountain home,AR,NA,72000,130000,144000,2605829,https://www.baxtercountyar.gov/transparency/budget_reports/2021_Budget.pdf
baxter police department,baxter,IA,NA,NA,60000,65000,,
baxter police department,baxter,TN,46038,97248,85100,87700,,
baxter springs police department,baxter springs,KS,70665,41918,80000,80000,913000,https://policescorecard.org/
bay county sheriff's office,panama,FL,NA,NA,214000,214000,43593000,https://policescorecard.org/
bay police department,bay,AR,NA,NA,112000,78000,,
bay springs police department,bay springs,MS,NA,NA,0,50000,,
bayonne police,bayonne,NJ,NA,NA,NA,NA,19945000,https://policescorecard.org/
bayou vista police department,bayou vista,TX,NA,NA,348233,351997,522650,https://webgen1files1.revize.com/bayouvistatx/2021-2022%20PROPOSED%20BUDGET%20AMENDMENT.pdf
baytown police department,baytown,TX,NA,1800000,2384029,2420832,35012000,https://policescorecard.org/
beach city police department,beach,OH,NA,NA,NA,NA,,
beachwood police,beachwood,NJ,NA,NA,140000,150000,,
beachwood police department,beachwood,OH,NA,NA,NA,NA,,
beacon city police department,beacon,NY,NA,NA,275721,305432,4579000,https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
bean station police department,bean station,TN,NA,NA,NA,NA,,
bear creek police department,bear creek,AL,NA,NA,6e+05,6e+05,,
beardstown police department,beardstown,IL,NA,308650,303084,343578,"1,379,788",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
beattyville police department,beattyville,KY,NA,NA,404751,451863,,
beaufort county sheriff's office,beaufort,SC,NA,NA,1e+05,125000,36875000,https://policescorecard.org/
beaumont police department,beaumont,TX,NA,NA,NA,NA,45177000,https://policescorecard.org/
beaver borough police department,beaver borough,PA,NA,NA,NA,NA,2133000,https://policescorecard.org/
beaver county sheriff's office,beaver,UT,NA,NA,NA,NA,,
beaver dam police department,beaver dam,KY,NA,NA,NA,NA,,
beaverton police department,beaverton,OR,NA,NA,NA,NA,32407000,https://policescorecard.org/
beckham county sheriff's office,sayre,OK,NA,NA,113186,115407,,
bedford police department,manchester,NH,NA,NA,350000,350000,11275000,https://policescorecard.org/
bedford police department,bedford,VA,NA,NA,228900,294058,2206000,https://policescorecard.org/
bedminster police,bedminster,NJ,NA,551201,325000,350000,,
belen police department,belen,NM,NA,NA,14000,15000,2620000,https://policescorecard.org/
belington police department,belington,WV,NA,NA,71975,70975,,
bell county sheriff's department,belton,TX,NA,NA,220000,220000,8238000,https://policescorecard.org/
bell gardens police department,bell gardens,CA,NA,NA,250000,260000,15544878,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
bell police department,bell,CA,NA,NA,82000,92000,9901904,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
belle plaine police department,belle plaine,KS,NA,NA,68535,72535,,
bellefonte police department,ashland,KY,NA,NA,73600,73648,,
belleville police,belleville,NJ,NA,NA,169147,164153,,
bellevue police department,bellevue,NE,NA,NA,77280,86425,13197000,https://policescorecard.org/
bellevue police department,bellevue,WA,NA,NA,48000,49000,48210000,https://policescorecard.org/
bellingham police department,bellingham,WA,NA,NA,825000,850000,24692000,https://policescorecard.org/
bells police department,bells,TX,NA,NA,125000,125000,338983,https://img1.wsimg.com/blobby/go/85aa83a8-252b-4f51-b1e0-5cfa4fe19721/downloads/2021.2022%20Approved%20Budget.pdf?ver=1720624749139
belmont village police department,belmont,NY,NA,219135,225811,226706,"44,073",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
belpre police department,belpre,OH,NA,NA,98435,110930,,
belton police department,belton,MO,NA,NA,50000,50000,5666000,https://policescorecard.org/
belvedere police department,belvedere,CA,NA,NA,59354375,64046268,1547912,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
bend police department,bend,OR,NA,NA,NA,NA,28505000,https://policescorecard.org/
bennington county sheriff's office,bennington,VT,NA,NA,NA,NA,,
bennington police department,bennington,NH,NA,NA,NA,NA,,
bensalem township police department,bensalem,PA,NA,NA,NA,NA,30314000,https://policescorecard.org/
benton county sheriff's office,bentonville,AR,NA,NA,NA,NA,11324215,https://bentoncountyar.gov/wp-content/themes/bentoncounty/documents/2021/12/2.1-2.4-November-Financials.pdf
benton county sheriff's office,vinton,IA,NA,NA,34000,50000,2510000,https://policescorecard.org/
benton harbor police department,benton harbor,MI,NA,NA,15000,15000,1950,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
benton police department,benton,TN,NA,NA,175000,175000,,
berea police department,berea,OH,NA,NA,NA,NA,3601000,https://policescorecard.org/
bergen county sheriff's office,hackensack,NJ,NA,NA,44167,15759,,
berkeley county sheriff's office,moncks corner,SC,NA,NA,111452,160515,20863000,https://policescorecard.org/
berkeley police department,berkeley,MO,NA,NA,85000,120000,2732000,https://policescorecard.org/
berkeley police department,berkeley,CA,NA,NA,170000,170000,77374364,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
berkley department of public safety,berkley,MI,NA,102316222,NA,NA,549700,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
berlin borough police,berlin borough,NJ,NA,NA,1271483,1154384,,
bern township police department,reading,PA,NA,NA,NA,NA,1325718,https://dced.pa.gov/local-government/municipal-statistics/
bernalillo county sheriff's office,albuquerque,NM,1e+06,NA,2700000,2700000,60748000,https://policescorecard.org/
berne police department,berne,IN,10200000,1.3e+07,14760000,14760000,596319,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
bertrand police department,bertrand,MO,83233076,92974535,92775797,104619650,,
berwick police department,berwick,ME,NA,NA,NA,NA,1892000,https://policescorecard.org/
berwyn police department,berwyn,IL,NA,2.5e+07,26819282,29417305,"36,508,204",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bessemer police department,bessemer,AL,NA,NA,2e+05,2e+05,14337785,https://www.bessemeral.org/wp-content/uploads/2022/03/2021-2022-Budget.pdf
bethalto police department,bethalto,IL,NA,NA,NA,NA,"2,314,402",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bethany beach police department,bethany beach,DE,3e+07,51167568,57938351,58666065,2180000,https://policescorecard.org/
bethel heights police department,bethel heights,AR,1227423,NA,1313943,1307691,,
bethlehem police department,bethlehem,PA,NA,NA,20000,40000,15459000,https://policescorecard.org/
beverly hills police department,beverly hills,CA,NA,NA,NA,NA,85231762,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
bexar county sheriff's office,san antonio,TX,45140014,45839826,49400000,49700000,53360000,https://policescorecard.org/
bibb county sheriff's office,macon-bibb,GA,NA,NA,6241526,7119647,,
big bend police department,big bend,WI,NA,NA,7503019,7940729,,
big stone gap police department,big stone gap,VA,NA,NA,NA,NA,,
billings county sheriff's office,medora,ND,NA,NA,NA,NA,655000,https://policescorecard.org/
billings police department,billings,MT,NA,NA,707505,777543,24868000,https://policescorecard.org/
biloxi police department,biloxi,MS,NA,6400000,9151911,12996005,15504000,https://policescorecard.org/
binghamton city police department,binghamton,NY,NA,NA,NA,NA,"13,268,693",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
birmingham police department,birmingham,MI,NA,NA,NA,NA,7363000,https://policescorecard.org/
birmingham police department,birmingham,AL,NA,NA,1600000,1700000,106672000,https://policescorecard.org/
bisbee police department,bisbee,AZ,NA,NA,845100,951540,,
bismarck police department,bismarck,ND,NA,NA,2600000,2800000,19637000,https://policescorecard.org/
black creek police department,black creek,WI,NA,NA,517600,509400,,
black hawk county sheriff's office,waterloo,IA,NA,NA,3500000,4e+06,7621000,https://policescorecard.org/
black hawk police department,black hawk,CO,NA,NA,NA,NA,4333000,https://policescorecard.org/
blackduck police department,blackduck,MN,NA,NA,370000,370000,,
blacklick township police department,belsano,PA,NA,NA,NA,NA,41106,https://dced.pa.gov/local-government/municipal-statistics/
blacksburg police department,blacksburg,SC,4e+06,NA,NA,NA,,
blackstone police department,blackstone,MA,396000,NA,468900,468900,,
blaine county sheriff's office,chinook,MT,NA,NA,1065323,1201028,1306000,https://policescorecard.org/
blaine county sheriff's office,watonga,OK,NA,NA,176000,179550,,
blair county sheriff's office,hollidaysburg,PA,NA,NA,1500000,1500000,"3,979,858",https://dced.pa.gov/local-government/municipal-statistics/
blanding police department,blanding,UT,NA,492647,320100,355250,513000,https://policescorecard.org/
bledsoe county sheriff's office,pikeville,TN,NA,NA,NA,NA,812000,https://policescorecard.org/
bloomfield police,bloomfield,NJ,NA,1e+07,10065130,11013820,16938000,https://policescorecard.org/
bloomfield town police department,pell lake,WI,NA,NA,166966,177623,,
bloomfield township police department,bloomfield hills,MI,NA,723776.37,850000,850000,0,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
bloomingdale police department,bloomingdale,IL,17353101,20002851,2.7e+07,2.7e+07,"10,173,539",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bloomington police department,bloomington,IL,NA,NA,4917674,4955436,"40,025,519",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bloomington police department,bloomington,IN,NA,NA,395850,479550,16766000,https://policescorecard.org/
bloomington police department,bloomington,MN,NA,9700000,11450608,11838317,30749000,https://policescorecard.org/
blount county sheriff's office,maryville,TN,NA,NA,1e+05,1e+05,15231000,https://policescorecard.org/
blowing rock police department,blowing rock,NC,NA,NA,NA,NA,1238000,https://policescorecard.org/
blue ash police department,blue ash,OH,NA,10352782,15432644,17265866,5639000,https://policescorecard.org/
blue grass police department,blue grass,IA,NA,NA,NA,NA,,
blue springs police department,blue springs,MO,NA,NA,NA,NA,17165000,https://policescorecard.org/
boardman police department,boardman,OH,39881825,39883501,50138599,54249714,,
boardman police department,boardman,OR,NA,NA,227500,227500,1925000,https://policescorecard.org/
boca raton police department,boca raton,FL,NA,NA,207389,210386,6067000,https://policescorecard.org/
boise police department,boise,ID,NA,NA,2700000,2700000,77200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
bolingbrook police department,bolingbrook,IL,NA,NA,NA,NA,"27,766,997",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bolivar police department,bolivar,OH,NA,NA,1e+05,130000,,
bolivar police department,bolivar,TN,11812534,NA,15250884,15014739,,
bollinger county sheriff's office,marble hill,MO,NA,NA,543000,543000,,
bolton police department,bolton,MS,NA,NA,7845565,8517854,,
bonneau police department,bonneau,SC,NA,NA,4e+06,4e+06,,
bonneauville borough police department,gettysburg borough,PA,342000,NA,373682,486428,72081,https://dced.pa.gov/local-government/municipal-statistics/
bonner county sheriff's office,sandpoint,ID,NA,NA,3e+05,340000,5644000,https://policescorecard.org/
bonney lake police department,bonney lake,WA,NA,NA,886600,910800,,
booker police department,booker,TX,NA,NA,7662330,7843940,,
boone county sheriff's office,burlington,KY,NA,NA,380000,388000,12420000,https://policescorecard.org/
boone county sheriff's office,columbia,MO,NA,NA,NA,NA,13934000,https://policescorecard.org/
boone police department,boone,IA,NA,NA,750000,8e+05,2716000,https://policescorecard.org/
boonville police department,boonville,MO,NA,NA,3547809,3556184,,
boonville police department,boonville,NC,2411378,NA,NA,NA,"419,797",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
boothbay harbor police department,boothbay harbor,ME,NA,3.1e+07,NA,NA,805000,https://policescorecard.org/
borden county sheriff's office,gail,TX,NA,NA,NA,NA,,
borough of woodland park police department,west paterson borough,NJ,NA,NA,393000,390000,,
bossier city police department,bossier,LA,NA,NA,NA,NA,20106000,https://policescorecard.org/
bossier parish sheriff's office,benton,LA,NA,NA,1700000,1700000,,
boston police department,boston,MA,389633,NA,515100,517515,428200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
boulder county sheriff's office,boulder,CO,NA,30000,NA,NA,84274000,https://policescorecard.org/
boulder police department,boulder,CO,NA,NA,12171145,13357090,39262000,https://policescorecard.org/
bourbon police department,bourbon,IN,NA,NA,1376500,1370859,,
bourbonnais police department,bourbonnais,IL,NA,NA,1800000,2e+06,"5,115,581",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bow police department,bow,NH,NA,NA,3617844,3661849,,
bowling green police department,bowling green,KY,NA,70000,NA,NA,13451000,https://policescorecard.org/
bowling green police department,bowling green,MO,NA,NA,867975,892476,1114667,https://www.bowlinggreen-mo.gov/wp-content/uploads/2021/11/BUDGET-2021-2022.pdf
boxford police department,boxford,MA,NA,NA,380000,390000,1301000,https://policescorecard.org/
boyce police department,boyce,LA,NA,NA,1630064,1661325,726147,https://app.lla.la.gov/publicreports.nsf/0/66a98d35320020f4862587f7006cbf56/$file/00026175.pdf
boyd county sheriff's office,butte,NE,9693714,11784557,12289780,14765959,,
boyd police department,boyd,TX,NA,NA,150000,150000,"559,953",https://www.cityofboyd.com/media/81
boyertown borough police department,boyertown borough,PA,NA,NA,1724740,1654410,1071625,https://dced.pa.gov/local-government/municipal-statistics/
boyle police department,boyle,MS,NA,NA,6e+05,644000,,
boynton beach police department,boynton beach,FL,9705143,11032708,12153310,12404707,33760000,https://policescorecard.org/
bradenton police department,bradenton,FL,NA,NA,614544,633428,,
bradford police department,bradford,NH,NA,1.2e+07,13886787,14470880,,
bradford police department,bradford,VT,NA,NA,323116,332697,,
bradley county sheriff's office,cleveland,TN,NA,NA,1130344,1130344,9122000,https://policescorecard.org/
brandon police department,brandon,MS,NA,10217889,9955211,10811053,3680000,https://policescorecard.org/
brantley county sheriff's office,nahunta,GA,NA,NA,1565881,1590136,,
brantley police department,brantley,AL,NA,NA,81000,83814,249000,https://policescorecard.org/
braswell police department,rockmart,GA,NA,NA,NA,NA,,
brattleboro police department,brattleboro,VT,NA,NA,943000,1010000,2643000,https://policescorecard.org/
brazoria county sheriff's office,angleton,TX,NA,NA,NA,NA,25381000,https://policescorecard.org/
brazos county sheriff's office,bryan,TX,3927439,NA,4248121,4248121,9527000,https://policescorecard.org/
breckenridge police department,breckenridge,MI,NA,NA,6512923,6554887,138690,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
brevard county sheriff's office,titusville,FL,50331498,70548138,77096919,78005577,65343000,https://policescorecard.org/
brewster police department,brewster,WA,19500000,21740987,23338228,23790270,,
brick township police,brick,NJ,NA,NA,3520676,3935929,,
bridgeport borough police department,bridgeport borough,PA,NA,NA,4879244,4987194,1337889,https://dced.pa.gov/local-government/municipal-statistics/
bridgeport police department,bridgeport,CT,16779760,15438591,19896590,18427258,94393000,https://policescorecard.org/
bridgeport police department,bridgeport,OH,NA,NA,371531,349199,,
bridgeton police department,bridgeton,MO,NA,NA,299000,315000,6153000,https://policescorecard.org/
bridgeview police department,bridgeview,IL,1407635,NA,4929962,5055447,"6,678,181",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bridgeville police department,bridgeville,DE,NA,756095,475000,465000,,
brighton police department,brighton,AL,12330883,12499234,14610196,15161638,,
brighton police department,brighton,MI,12190000,15500910,18732990,19347240,3076000,https://policescorecard.org/
brighton police department,brighton,TN,NA,NA,490580,538217,,
brisbane police department,brisbane,CA,650000,NA,1083736,1292378,4773732,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
bristol bay borough police department,king salmon,AK,NA,NA,759783,798750,1241000,https://policescorecard.org/
bristol police department,bristol,CT,NA,NA,189412,190702,18878000,https://policescorecard.org/
bristol police department,bristol,VT,NA,NA,990000,990000,,
broadview heights police department,broadview heights,OH,NA,NA,NA,NA,4883000,https://policescorecard.org/
broadview police department,broadview,IL,14900000,18386702,22451005,23279589,"9,732,571",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
brockton police department,brockton,MA,NA,NA,355000,367000,25086000,https://policescorecard.org/
brockway borough police department,brockway borough,PA,NA,NA,2138358,2176555,211575,https://dced.pa.gov/local-government/municipal-statistics/
broken arrow police department,broken arrow,OK,2e+07,20772160,29926300,25332700,25212000,https://policescorecard.org/
bronson police department,bronson,MI,NA,NA,20858393,20423324,513930,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
bronxville village police department,bronxville,NY,64129770,74608847,91348133,84962353,3745000,https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
