location,is_city,zip,County,STATE,City
harrisville_MI,1,48740,NA,MI,harrisville
bellaire_MI,1,49615,NA,MI,bellaire
sault st.e marie_MI,1,49783,NA,MI,sault st.e marie
st. johns_MI,1,48879,NA,MI,st. johns
grayling_MI,1,49738,NA,MI,grayling
charlotte_MI,1,48813,NA,MI,charlotte
flint_MI,1,48502,NA,MI,flint
gladwin_MI,1,48624,NA,MI,gladwin
hillsdale_MI,1,49242,NA,MI,hillsdale
crystal falls_MI,1,49920,NA,MI,crystal falls
mount pleasant_MI,1,48858,NA,MI,mount pleasant
kalamazoo_MI,1,49048,NA,MI,kalamazoo
grand rapids_MI,1,49503,NA,MI,grand rapids
mount clemens_MI,1,48043,NA,MI,mount clemens
pontiac_MI,1,48341,NA,MI,pontiac
grand rapids_MI,1,49460,NA,MI,grand rapids
paw paw_MI,1,49079,NA,MI,paw paw
ann arbor_MI,1,48105,NA,MI,ann arbor
detroit_MI,1,48201,NA,MI,detroit
andover_MN,1,55304,NA,MN,andover
windom_MN,1,56101,NA,MN,windom
mantorville_MN,1,55955,NA,MN,mantorville
minneapolis_MN,1,55415,NA,MN,minneapolis
park rapids_MN,1,56470,NA,MN,park rapids
